사용일자,in_final,out_final,net_in_out_final,pre_week,next_week,week,weekend&public holiday
2023-08-04,30546.0,32626.67373,-2080.673729999999,-1998.3261100000013,-1998.6642299999978,4,0
2023-08-07,29046.0,30378.69621,-1332.6962099999987,-2242.3419299999987,-2597.657419999999,0,0
2023-08-08,29672.0,32038.67961,-2366.6796099999997,-2421.3423,-2462.6441499999983,1,0
2023-08-09,30321.0,31813.68186,-1492.6818599999967,-2543.3470000000007,-1978.6650399999994,2,0
2023-08-10,22324.0,24430.75569,-2106.7556899999995,-1716.6666299999997,-2314.668139999999,3,0
2023-08-11,29694.0,32005.67994,-2311.679939999999,-2453.672559999998,-2297.6667599999996,4,0
2023-08-14,32364.0,35243.64756,-2879.6475599999994,-2512.6718299999993,-1939.6536799999992,0,0
2023-08-16,31578.0,33576.66423,-1998.6642299999978,-2080.673729999999,-3026.630849999997,2,0
2023-08-17,31660.0,34257.65742,-2597.657419999999,-1332.6962099999987,-2241.6514499999994,3,0
2023-08-18,33122.0,35584.64415,-2462.6441499999983,-2366.6796099999997,-2525.659489999999,4,0
2023-08-21,31517.0,33495.66504,-1978.6650399999994,-1492.6818599999967,-1957.6492399999986,0,0
2023-08-22,30871.0,33185.66814,-2314.668139999999,-2106.7556899999995,-1883.6561699999997,1,0
2023-08-23,31026.0,33323.66676,-2297.6667599999996,-2311.679939999999,-2692.755299999999,2,0
2023-08-24,32692.0,34631.653679999996,-1939.6536799999992,-2879.6475599999994,-2062.718099999999,3,0
2023-08-25,33888.0,36914.63085,-3026.630849999997,-1998.6642299999978,-2257.74662,4,0
2023-08-28,32613.0,34854.65145,-2241.6514499999994,-2597.657419999999,-1562.7392799999993,0,0
2023-08-29,31525.0,34050.65949,-2525.659489999999,-2462.6441499999983,-1877.736299999999,1,0
2023-08-30,33118.0,35075.64924,-1957.6492399999986,-1978.6650399999994,-2698.7840199999982,2,0
2023-08-31,32499.0,34382.65617,-1883.6561699999997,-2314.668139999999,-1646.7138599999996,3,0
2023-09-01,35073.0,37765.7553,-2692.755299999999,-2297.6667599999996,-1854.72656,4,0
2023-09-04,33843.0,35905.7181,-2062.718099999999,-1939.6536799999992,-2126.720960000001,0,0
2023-09-05,35074.0,37331.74662,-2257.74662,-3026.630849999997,-2033.7484000000002,1,0
2023-09-06,35402.0,36964.73928,-1562.7392799999993,-2241.6514499999994,-1680.7430199999994,2,0
2023-09-07,34938.0,36815.736300000004,-1877.736299999999,-2525.659489999999,-2041.7536599999999,3,0
2023-09-08,36503.0,39201.78402,-2698.7840199999982,-1957.6492399999986,-2115.743059999999,4,0
2023-09-11,34047.0,35693.71386,-1646.7138599999996,-1883.6561699999997,-2121.7180599999997,0,0
2023-09-12,34474.0,36328.72656,-1854.72656,-2692.755299999999,-1979.75644,1,0
2023-09-13,33922.0,36048.72096,-2126.720960000001,-2062.718099999999,-2530.7746999999995,2,0
2023-09-14,35387.0,37420.7484,-2033.7484000000002,-2257.74662,-1187.6601000000012,3,0
2023-09-15,35471.0,37151.74302,-1680.7430199999994,-1562.7392799999993,-686.6237000000001,4,0
2023-09-18,35642.0,37683.75366,-2041.7536599999999,-1877.736299999999,-2330.6404599999996,0,0
2023-09-19,35038.0,37153.74306,-2115.743059999999,-2698.7840199999982,-2971.970280000001,1,0
2023-09-20,33782.0,35903.71806,-2121.7180599999997,-1646.7138599999996,-2283.9771600000013,2,0
2023-09-21,35843.0,37822.75644,-1979.75644,-1854.72656,-1807.981920000002,3,0
2023-09-22,36205.0,38735.7747,-2530.7746999999995,-2126.720960000001,-3336.9666300000017,4,0
2023-09-25,31818.0,33005.6601,-1187.6601000000012,-2033.7484000000002,-1437.9856200000022,0,0
2023-09-26,30499.0,31185.6237,-686.6237000000001,-1680.7430199999994,-2514.9748500000014,1,0
2023-09-27,29693.0,32023.64046,-2330.6404599999996,-2041.7536599999999,-2216.9778300000016,2,0
2023-10-02,28051.71948,31023.68976,-2971.970280000001,-2115.743059999999,-2797.972020000002,0,0
2023-10-04,29146.70853,31430.68569,-2283.9771600000013,-2121.7180599999997,-1890.9810900000016,2,0
2023-10-05,31053.68946,32861.67138,-1807.981920000002,-1979.75644,-2210.977890000002,3,0
2023-10-06,33698.66301,37035.62964,-3336.9666300000017,-2530.7746999999995,-2085.9791400000013,4,0
2023-10-10,32883.67116,34321.65678,-1437.9856200000022,-1187.6601000000012,-2055.979440000001,1,0
2023-10-11,33879.661199999995,36394.63605,-2514.9748500000014,-686.6237000000001,-2903.970960000002,2,0
